#
#
# US Geological Survey, Water Resources Data
# retrieved: 2017-09-09 15:34:06 EDT      (nadww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04174500 HURON RIVER AT ANN ARBOR, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		71299	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	04174500	00060	71299	1999	10	130.6
USGS	04174500	00060	71299	1999	11	236.9
USGS	04174500	00060	71299	1999	12	293.5
USGS	04174500	00060	71299	2000	1	256.6
USGS	04174500	00060	71299	2000	2	241.2
USGS	04174500	00060	71299	2000	3	315.1
USGS	04174500	00060	71299	2000	4	359.7
USGS	04174500	00060	71299	2000	5	574.7
USGS	04174500	00060	71299	2000	6	639.9
USGS	04174500	00060	71299	2000	7	538.6
USGS	04174500	00060	71299	2000	8	688.8
USGS	04174500	00060	71299	2000	9	571.9
USGS	04174500	00060	71299	2000	10	496.2
USGS	04174500	00060	71299	2000	11	498.2
USGS	04174500	00060	71299	2000	12	479.8
USGS	04174500	00060	71299	2001	1	445.8
USGS	04174500	00060	71299	2001	2	1335
USGS	04174500	00060	71299	2001	3	1032
USGS	04174500	00060	71299	2001	4	674.9
USGS	04174500	00060	71299	2001	5	693.1
USGS	04174500	00060	71299	2001	6	673.5
USGS	04174500	00060	71299	2001	7	153.3
USGS	04174500	00060	71299	2001	8	155.2
USGS	04174500	00060	71299	2001	9	203.8
USGS	04174500	00060	71299	2001	10	901.9
USGS	04174500	00060	71299	2001	11	722.3
USGS	04174500	00060	71299	2001	12	802.6
USGS	04174500	00060	71299	2002	1	480.2
USGS	04174500	00060	71299	2002	2	809.8
USGS	04174500	00060	71299	2002	3	928.6
USGS	04174500	00060	71299	2002	4	704.8
USGS	04174500	00060	71299	2002	5	598.0
USGS	04174500	00060	71299	2002	6	322.9
USGS	04174500	00060	71299	2002	7	110.1
USGS	04174500	00060	71299	2002	8	115.2
USGS	04174500	00060	71299	2002	9	89.1
USGS	04174500	00060	71299	2002	10	132.9
USGS	04174500	00060	71299	2002	11	271.6
USGS	04174500	00060	71299	2002	12	217.3
USGS	04174500	00060	71299	2003	1	186.7
USGS	04174500	00060	71299	2003	2	158.7
USGS	04174500	00060	71299	2003	3	398.5
USGS	04174500	00060	71299	2003	4	512.2
USGS	04174500	00060	71299	2003	5	531.1
USGS	04174500	00060	71299	2003	6	338.9
USGS	04174500	00060	71299	2003	7	107.0
USGS	04174500	00060	71299	2003	8	103.4
USGS	04174500	00060	71299	2003	9	152.6
USGS	04174500	00060	71299	2003	10	187.3
USGS	04174500	00060	71299	2003	11	437.8
USGS	04174500	00060	71299	2003	12	387.8
USGS	04174500	00060	71299	2004	1	381.4
USGS	04174500	00060	71299	2004	2	290.1
USGS	04174500	00060	71299	2004	3	765.1
USGS	04174500	00060	71299	2004	4	324.4
USGS	04174500	00060	71299	2004	5	971.2
USGS	04174500	00060	71299	2004	6	774.7
USGS	04174500	00060	71299	2004	7	396.0
USGS	04174500	00060	71299	2004	8	396.4
USGS	04174500	00060	71299	2004	9	174.8
USGS	04174500	00060	71299	2004	10	151.6
USGS	04174500	00060	71299	2004	11	452.0
USGS	04174500	00060	71299	2004	12	618.4
USGS	04174500	00060	71299	2005	1	1100
USGS	04174500	00060	71299	2005	2	961.4
USGS	04174500	00060	71299	2005	3	931.2
USGS	04174500	00060	71299	2005	4	576.6
USGS	04174500	00060	71299	2005	5	361.2
USGS	04174500	00060	71299	2005	6	171.1
USGS	04174500	00060	71299	2005	7	176.6
USGS	04174500	00060	71299	2005	8	144.6
USGS	04174500	00060	71299	2005	9	141.1
USGS	04174500	00060	71299	2005	10	140.6
